GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
uuid,com.github.uuidjs.uuid,V7State,0,67,0,8,0,15,0,11,0,7
uuid,com.github.uuidjs.uuid,V1State,0,113,2,12,0,23,2,14,0,9
uuid,com.github.uuidjs.uuid,Rng,0,13,0,0,0,4,0,2,0,2
uuid,com.github.uuidjs.uuid,Version7Options,0,45,0,0,0,15,0,11,0,11
uuid,com.github.uuidjs.uuid,Version6Options,0,3,0,0,0,1,0,1,0,1
uuid,com.github.uuidjs.uuid,Version4Options,0,19,0,0,0,7,0,5,0,5
uuid,com.github.uuidjs.uuid,Stringify,0,144,0,8,0,31,0,10,0,6
uuid,com.github.uuidjs.uuid,Uuid,0,114,0,0,0,31,0,31,0,31
uuid,com.github.uuidjs.uuid,Version1Options,6,180,1,9,1,45,1,26,0,19
uuid,com.github.uuidjs.uuid,Md5,7,5,0,0,2,1,0,1,0,1
uuid,com.github.uuidjs.uuid,JSRangeError,0,4,0,0,0,2,0,1,0,1
uuid,com.github.uuidjs.uuid,UuidBin,4,172,0,31,2,53,1,21,1,3
uuid,com.github.uuidjs.uuid,JSURIError,0,4,0,0,0,2,0,1,0,1
uuid,com.github.uuidjs.uuid,V6ToV1,0,193,0,0,0,3,0,3,0,3
uuid,com.github.uuidjs.uuid,Sha1,7,5,0,0,2,1,0,1,0,1
uuid,com.github.uuidjs.uuid,Validate,0,13,0,4,0,1,0,3,0,1
uuid,com.github.uuidjs.uuid,JSError,0,4,0,0,0,2,0,1,0,1
uuid,com.github.uuidjs.uuid,V1ToV6,0,193,0,0,0,3,0,3,0,3
uuid,com.github.uuidjs.uuid,Version,0,18,0,2,0,4,0,2,0,1
uuid,com.github.uuidjs.uuid,JSTypeError,0,4,0,0,0,2,0,1,0,1
uuid,com.github.uuidjs.uuid,Regex,0,5,0,0,0,2,0,1,0,1
uuid,com.github.uuidjs.uuid,V1,2,462,2,54,0,86,2,35,0,9
uuid,com.github.uuidjs.uuid,V35,2,183,1,31,0,31,1,17,0,2
uuid,com.github.uuidjs.uuid,V4,0,130,0,20,0,28,0,18,0,8
uuid,com.github.uuidjs.uuid,V3,0,96,0,0,0,10,0,10,0,10
uuid,com.github.uuidjs.uuid,V6,0,77,0,10,0,15,0,10,0,5
uuid,com.github.uuidjs.uuid,V5,0,96,0,0,0,10,0,10,0,10
uuid,com.github.uuidjs.uuid,Parse,0,193,0,2,0,26,0,2,0,1
uuid,com.github.uuidjs.uuid,V7,0,367,0,28,0,59,0,24,0,10
